iter	Recall	Logloss
0	0.9316993027	0.6886755536
1	0.9552583819	0.6842924201
2	0.9507651161	0.6799831028
3	0.9501461458	0.6757671008
4	0.9537988347	0.6715612386
5	0.9535275576	0.667459272
6	0.9536612857	0.6634001741
7	0.9536421817	0.6594331562
8	0.9530193906	0.6555582101
9	0.9537682682	0.6517618134
10	0.9540892158	0.6480495317
11	0.9543910593	0.6444082089
12	0.9548992263	0.6408194515
13	0.9547311109	0.637271279
14	0.9549221511	0.6338522689
15	0.9551819658	0.6304193765
16	0.9549794632	0.6270309099
17	0.9571993505	0.6236592497
18	0.9574171363	0.620471363
19	0.9573865699	0.6172470458
20	0.9562250454	0.6140199428
21	0.9558162193	0.610861373
22	0.9563091031	0.6077887837
23	0.9580361066	0.6048154389
24	0.9581889388	0.6018528038
25	0.9578488872	0.5990141936
26	0.9569013277	0.5961515788
27	0.9548533766	0.5933400664
28	0.9548037062	0.590590434
29	0.9558162193	0.5878807222
30	0.9556786704	0.5852582373
31	0.9551896074	0.582594667
32	0.9552965899	0.5799836194
33	0.9553195148	0.5774725892
34	0.9555716878	0.574944953
35	0.9555143758	0.572509409
36	0.9556213583	0.5701006355
37	0.9559384851	0.5677293205
38	0.9557818321	0.5654169809
39	0.9558047569	0.5631337326
40	0.9562479702	0.5607903071
41	0.9559537683	0.5585006179
42	0.9558123985	0.5562481484
43	0.9558773522	0.5541137455
44	0.9557398032	0.5519813066
45	0.9559079186	0.5498978758
46	0.9559232018	0.5478202967
47	0.9558658898	0.5457390795
48	0.9559384851	0.5436852283
49	0.9557856529	0.5417501649
50	0.955686312	0.5398060099
51	0.9560110803	0.5378762967
52	0.9550520585	0.5359992637
53	0.95429936	0.5341397174
54	0.9543337473	0.5323313665
55	0.9543948801	0.5304608519
56	0.9543261056	0.5286896439
57	0.9541503486	0.5268951805
58	0.9539745917	0.5251702282
59	0.9537568058	0.5233894557
60	0.953928742	0.5217137585
61	0.9540930366	0.5200099284
62	0.9543490305	0.5183516943
63	0.9542267647	0.5166778705
64	0.9541847359	0.5150603105
65	0.9543452097	0.5134977066
66	0.9542764352	0.5119641655
67	0.9541350654	0.5104108991
68	0.9542191231	0.5088206759
69	0.9540510077	0.5073435514
70	0.9539784125	0.5058756313
71	0.9539019964	0.5044381161
72	0.9538943548	0.5029824665
73	0.953909638	0.5015715329
74	0.9539554876	0.5001596109
75	0.9540586493	0.4988264818
76	0.954142707	0.4974200144
77	0.9541885567	0.4960916851
78	0.9548992263	0.4947911329
79	0.9547731397	0.4935078557
80	0.9547922438	0.4922602984
81	0.9547807814	0.4909937814
82	0.9547846022	0.4897117368
83	0.9542917184	0.4885363469
84	0.95396695	0.4873118982
85	0.9534320374	0.4860650122
86	0.9534052918	0.4848447867
87	0.9535160951	0.4836834897
88	0.9537682682	0.4825068618
89	0.9546241284	0.4813704242
90	0.9545095043	0.4802384129
91	0.9544216258	0.4791775072
92	0.9554608845	0.4780448747
93	0.9551208329	0.4769479977
94	0.9550673417	0.4758555973
95	0.9552469195	0.4748142754
96	0.9550788041	0.4737455583
97	0.9561104212	0.4727019733
98	0.9557168784	0.47166119
99	0.9550367752	0.4706604252
