iter	Passed	Remaining
0	69	69869
1	85	42677
2	103	34347
3	119	29669
4	134	26852
5	150	24945
6	165	23536
7	181	22469
8	196	21630
9	211	20973
10	227	20426
11	242	19954
12	258	19599
13	273	19291
14	290	19052
15	306	18835
16	321	18598
17	337	18414
18	352	18215
19	368	18039
20	383	17888
21	398	17716
22	415	17642
23	436	17742
24	452	17663
25	469	17573
26	484	17466
27	500	17365
28	515	17269
29	530	17157
30	545	17065
31	560	16959
32	575	16861
33	590	16785
34	605	16696
35	620	16615
36	635	16544
37	651	16484
38	666	16435
39	683	16411
40	702	16423
41	719	16402
42	735	16359
43	751	16322
44	767	16277
45	782	16219
46	797	16177
47	814	16152
48	830	16116
49	845	16071
50	862	16042
51	877	15992
52	892	15944
53	907	15896
54	923	15865
55	939	15842
56	956	15819
57	980	15925
58	1004	16016
59	1028	16113
60	1053	16214
61	1074	16262
62	1098	16341
63	1122	16420
64	1140	16408
65	1155	16353
66	1170	16304
67	1186	16268
68	1202	16228
69	1218	16182
70	1234	16147
71	1248	16096
72	1265	16066
73	1279	16016
74	1298	16009
75	1313	15971
76	1329	15934
77	1344	15894
78	1360	15855
79	1376	15827
80	1392	15797
81	1407	15758
82	1423	15725
83	1437	15679
84	1453	15643
85	1469	15614
86	1489	15626
87	1504	15596
88	1521	15577
89	1546	15636
90	1570	15688
91	1594	15735
92	1619	15794
93	1642	15829
94	1658	15795
95	1673	15757
96	1688	15721
97	1703	15682
98	1719	15645
99	1735	15615
100	1750	15577
101	1765	15539
102	1780	15504
103	1795	15466
104	1811	15438
105	1826	15403
106	1841	15366
107	1856	15332
108	1872	15303
109	1888	15282
110	1903	15247
111	1919	15218
112	1934	15182
113	1949	15148
114	1963	15113
115	1979	15088
116	1995	15059
117	2020	15104
118	2045	15143
119	2069	15174
120	2092	15202
121	2108	15171
122	2123	15141
123	2138	15110
124	2155	15085
125	2170	15056
126	2185	15021
127	2201	14995
128	2215	14959
129	2230	14926
130	2245	14895
131	2260	14863
132	2275	14832
133	2291	14808
134	2306	14778
135	2322	14752
136	2336	14721
137	2352	14693
138	2367	14663
139	2381	14631
140	2396	14602
141	2412	14579
142	2427	14549
143	2443	14522
144	2458	14497
145	2474	14476
146	2493	14467
147	2509	14447
148	2525	14425
149	2545	14425
150	2571	14455
151	2592	14464
152	2608	14438
153	2623	14409
